,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF
4FGL J1243.0+3950,-11.750033,0.1605504751205444,-0.8246677,130.19407653808594,77.17621612548828,6.197016716003418,bcu,0.8953630784329953,0.01420492812536046,0.07710958021860159,0.01332241322304256
4FGL J1243.1-5500,-11.769848,0.0418457724153995,2.1889296,301.72955322265625,7.845449447631836,6.545346736907959,unas,1.6031151185308487e-05,0.9674039994202447,0.03257996942856989,9.878091846871118e-17
4FGL J1243.1-6754c,-11.516819,0.5202410221099854,-0.38003325,302.1517028808594,-5.04427433013916,4.9389214515686035,unas,0.04883029809287326,4.159238363406865e-05,0.5110440628689871,0.44008404665450557
4FGL J1243.2+3627,-10.584882,0.0624830834567546,1.431334,132.97047424316406,80.5095443725586,78.5566635131836,bll,7.533034401621856e-09,0.3152220740216664,0.6847778616835986,5.6761700625617e-08
4FGL J1243.5+5311,-12.085558,0.1457803845405578,0.87380195,125.6317367553711,63.88874816894531,5.453813552856445,unas,0.20763789963047938,0.7575533757753992,0.03431251514326018,0.0004962094508611553
4FGL J1243.7+1727,-11.996294,0.0529933646321296,0.768198,292.09222412109375,80.16693878173828,4.823888778686523,unas,0.12425927632698758,0.8552615547380344,0.02027700414199831,0.00020216479297974525
4FGL J1243.9-0218,-11.370356,0.1682845205068588,-0.00037884712,299.124267578125,60.50809097290039,17.922334671020508,bcu,0.3010778007591632,0.01020334048787657,0.21463616709315114,0.474082691659809
4FGL J1244.3-6233,-10.842568,0.1954930126667022,-0.09130144,302.1117248535156,0.30641162395477295,14.838290214538574,unas,0.03176922902032942,7.843896196909861e-05,0.04850520795672092,0.9196471240609806
4FGL J1245.1+5709,-11.496441,0.0924778655171394,0.4872377,124.63353729248047,59.94948196411133,21.628801345825195,bll,0.10551189314337042,0.6818387092838707,0.19854853091135138,0.014100866661407524
4FGL J1245.3+3327,-11.837028,0.1236616000533104,-0.9357023,134.33343505859375,83.53186798095703,5.209726333618164,unas,0.8758779168625851,0.06718303338955586,0.05356592367069186,0.0033731260771670663
4FGL J1245.4-0701,-11.862201,0.1525201052427292,0.051249027,300.2679443359375,55.81204605102539,4.0579142570495605,unas,0.5628753773130941,0.21332284358110207,0.0611275689844974,0.16267421012130628
4FGL J1245.8+0232,-11.5810375,0.3600492477416992,0.07449889,299.610107421875,65.37821960449219,12.34778881072998,bll,0.1371528764994871,0.020469399559787865,0.022202521240046336,0.8201752027006787
4FGL J1246.3+0112,-11.849366,0.1953025907278061,0.3467028,300.00341796875,64.05921173095703,5.001616477966309,bll,0.39400107863432127,0.4946550724743133,0.03012728069376939,0.08121656819759601
4FGL J1246.7-2548,-10.142132,0.1141646057367324,-0.5724504,301.6110534667969,37.05793762207031,124.396728515625,fsrq,0.10851022759098837,0.010284304624101171,0.5457501367056532,0.3354553310792572
4FGL J1247.0+4421,-11.56465,0.1436917334794998,1.148973,125.55610656738281,72.75067138671875,16.277448654174805,bll,0.009098280077722669,0.8617836231903385,0.12910028311128396,1.781362065479546e-05
4FGL J1248.3+5820,-10.272511,0.0398074425756931,0.8720448,123.71673583984375,58.78032684326172,145.04638671875,bll,2.278622474016402e-06,0.1275706146471035,0.8722695022158297,0.00015760451459280757
4FGL J1248.7+5127,-11.7711115,0.0232338346540927,-0.52157855,123.95831298828125,65.65983581542969,9.930591583251953,bll,0.29175618410189064,0.5917541435638471,0.039854103832946436,0.07663556850131586
4FGL J1249.2-2809,-11.266066,0.0075286156497895,-0.7014735,302.3517150878906,34.71921157836914,18.893606185913086,bcu,0.40977584362071445,0.015215824829122485,0.3852011673188877,0.18980716423127536
4FGL J1249.3-0545,-11.257518,0.1044045984745025,0.7230158,301.9552917480469,57.10560607910156,21.050683975219727,bcu,0.011656073499987537,0.04650468303746037,0.937124400932126,0.004714842530426102
4FGL J1249.8+3707,-11.495871,0.1294492781162262,1.1374946,124.76579284667969,79.99195861816406,18.05030632019043,bll,0.009109949621817727,0.6905955573860721,0.3002683123505009,2.6180641609112838e-05
4FGL J1250.2+3157,-12.1552515,0.2882750332355499,1.2154684,126.01197052001953,85.16272735595703,5.141111373901367,bll,0.0685202621829598,0.9300108751189511,0.0013458134755368566,0.00012304922255221585
4FGL J1250.6+0217,-11.34187,0.039636880159378,0.518811,302.436767578125,65.1585464477539,15.851637840270996,bll,0.08048139827703739,0.1771447246432762,0.7264687512411419,0.015905125838544636
4FGL J1250.8+3117,-11.628753,0.1849769204854965,0.16479802,124.55438232421875,85.84071350097656,14.483030319213867,bcu,0.37706862444786865,0.3638298475259955,0.06000188383341527,0.19909964419272064
4FGL J1250.8-5424,-11.465699,0.0377022735774517,-1.624749,302.851318359375,8.465163230895996,7.057508945465088,unas,0.865506880803925,0.06862952437835253,0.06586021582001092,3.3789977115319676e-06
