,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF,Gauss_PDF
4FGL J1924.8-1035,-11.227525,0.4802580177783966,0.3425889,27.14768409729004,-12.168449401855469,16.149137496948242,unas,0.0011430183074118384,3.70050220033757e-07,0.03726387806627477,0.9412554536748795,0.02033727990121396
4FGL J1924.8-2914,-10.683502,0.0525702126324176,-1.4191202,9.339295387268066,-19.60930633544922,42.44820022583008,fsrq,0.848646039048814,0.1221616078983575,0.028816693617704673,0.00032019410355295066,5.546533157100289e-05
4FGL J1925.0+2815,-11.174941,0.0375326201319694,0.7906449,61.791053771972656,5.813796043395996,19.129207611083984,bcu,0.012753481122227928,0.879655142261049,0.10641965556988134,0.0011409092321529113,3.081181468879444e-05
4FGL J1925.1-3358,-11.502539,0.1632846295833587,-1.1188836,4.6141228675842285,-21.284088134765625,5.244875431060791,fsrq,0.9149126358524542,0.009289214412312171,0.06583396020890804,0.0014716311864990728,0.008492558339826537
4FGL J1925.1-1019,-11.062036,0.0519315116107463,-1.0464392,27.431772232055664,-12.125720024108887,11.14650821685791,bll,0.9684882221007682,0.02367993407211572,0.0020653840974764557,0.0020633244955043355,0.003703135234135262
4FGL J1925.1+1707,-10.865697,0.1264707595109939,-0.5408304,51.95362091064453,0.5476557612419128,6.5564351081848145,unk,0.5410078444310474,0.007388724021368971,0.008532094555319024,0.05467276106800111,0.38839857592426347
4FGL J1925.1+0547,-11.355893,0.2691176235675812,-0.6353071,41.95090103149414,-4.811376094818115,4.018348693847656,unas,0.13500765097432396,0.0007846317135776492,0.02426163733509234,0.04893556841460527,0.7910105115624008
4FGL J1925.2+1600c,-10.807794,0.4439252316951751,-0.33776093,50.97609329223633,0.006993828807026148,4.3689985275268555,unas,5.2334686679893615e-05,5.106174981962298e-09,0.02754027274644135,0.11189182844711863,0.8605155590135851
4FGL J1925.2+1618e,-10.381852,0.024580555036664,-0.6252606,51.23881530761719,0.1402641087770462,17.751060485839844,snr,0.22179311864191745,0.15126990636893134,0.21372595759916865,0.28765632287269755,0.12555469451728493
4FGL J1925.2+1729,-10.935598,0.4053363800048828,-0.122712135,52.28709411621094,0.6923655867576599,8.246167182922363,psr,0.0012105860208576306,2.027967069234687e-07,0.020366567687859487,0.24799122765931325,0.7304314158352627
4FGL J1925.3+1522c,-10.7326145,0.3344793319702148,-0.39759707,50.431358337402344,-0.3215585947036743,8.47093391418457,unas,8.64579349349715e-05,2.1022156383181456e-07,0.018559092669898542,0.08400948708279284,0.8973447520908098
4FGL J1925.3+3705,-11.757875,0.1105009093880653,1.4233513,69.7354507446289,9.800228118896484,7.955626010894775,unk,0.0011189530529403468,0.9855638048763671,0.013317214497166045,2.757337598334161e-08,1.5071916147510518e-13
4FGL J1925.7+1227,-10.948473,0.1177108809351921,-0.5446198,47.91701126098633,-1.7828494310379028,9.985257148742676,bcu,0.759409946091946,0.00597744900639643,0.003420772185477685,0.02796667468825692,0.20322515802792288
4FGL J1925.8-2220,-11.68436,0.0927418693900108,1.3587642,16.18523406982422,-17.24885368347168,7.523697853088379,bll,0.000842935794472813,0.9851373101006984,0.014019706986009484,4.71179374717008e-08,8.818003553224885e-13
4FGL J1926.0-3626,-11.449597,0.1455588489770889,-1.5310634,2.174133539199829,-22.24418067932129,5.045304775238037,unas,0.9169934555411499,0.008521309112086083,0.07447077353125583,6.088072611837548e-06,8.373742896273667e-06
4FGL J1926.1+2059,-11.139562,0.0990983992815017,-1.5264341,55.47231674194336,2.182795763015747,4.267095565795898,bll,0.9935167711820495,0.004794237240697741,0.0016837491591411395,3.132955123677183e-06,2.1094629880047276e-06
4FGL J1926.4+1602,-10.710093,0.0782594233751297,-0.85879636,51.1518440246582,-0.24995027482509613,8.480074882507324,unas,0.7419199822191156,0.10623675713812845,0.028505719215969644,0.03762864081572884,0.0857089006110575
4FGL J1926.5+2635,-11.439895,0.1958858668804168,-0.6198435,60.45231628417969,4.743116855621338,4.317522048950195,unas,0.2927428880448057,0.0076931643466269135,0.03884999153571112,0.06647819819814843,0.5942357578747077
4FGL J1926.7+3027,-11.421174,0.4430316388607025,-0.54498816,63.9267578125,6.505591869354248,6.415635108947754,spp,0.03318465336577904,5.5546714738507325e-05,0.05173941128039851,0.0662843322415722,0.8487360563975117
4FGL J1926.8+6154,-10.837357,0.0690261349081993,1.0936618,93.31233215332031,19.744543075561523,49.135040283203125,bll,4.140109588339866e-06,0.9005674664677684,0.09941483473940477,1.3522107409735242e-05,3.657582874688128e-08
4FGL J1927.1-0040,-11.43866,0.2643353939056396,-0.6488135,36.421504974365234,-8.239877700805664,4.756105899810791,unas,0.17025036063009935,0.004251078872356241,0.018901743369510112,0.053386189207829976,0.7532106279202044
4FGL J1927.4+3528,-11.669476,0.3044659495353699,-0.16073322,68.46548461914062,8.695149421691895,7.556086540222168,unas,0.10775854367017361,0.0648950329920393,0.004714591169849518,0.32202826919379235,0.5006035629741452
4FGL J1927.4+0253,-11.499667,0.2780818343162536,-0.23613787,39.646060943603516,-6.67915678024292,5.924147129058838,unas,0.08555426340676929,0.01913910055165958,0.011192886373581918,0.20974269790582709,0.6743710517621622
4FGL J1927.5+0154,-11.561212,0.2267311364412307,1.2560978,38.77157211303711,-7.138582229614258,9.232939720153809,unk,0.004555394223006241,0.970916978696748,0.024478058416702263,4.956803500981646e-05,6.285336418573192e-10
4FGL J1927.5+6117,-11.004217,0.0668905377388,-0.17075825,92.72885131835938,19.445026397705078,36.32135009765625,bll,0.18165362134017646,0.13108795383910013,0.011695026896861908,0.16651409218702384,0.5090493057368377
4FGL J1928.3+3325,-11.571064,0.1323049366474151,-0.92008615,66.71363830566406,7.595247745513916,4.759912490844727,spp,0.8421069960136282,0.07676733024978401,0.04346013534334463,0.006740471110740391,0.030925067282502865
4FGL J1928.4+1801c,-10.860404,0.1568896621465683,-0.5335672,53.11526870727539,0.28535038232803345,7.108358860015869,unk,0.300672873819122,0.0011999599977608947,0.009365726130464028,0.06861938391146964,0.6201420561411835
